route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,178915,MUN / CONA/ MI,,0,28497,14128,0,0
1,1,178914,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178913,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178912,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178911,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178910,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178909,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178908,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178907,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178906,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178905,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178904,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178903,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178902,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178901,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178900,MUN / CONA/ MI,,0,28497,14124,0,0
1,1,178899,MUN / CONA/ MI,,0,28497,14128,0,0
1,1,178932,Crosbie Rd - Village Mall,,1,28497,14129,0,0
1,1,178931,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178930,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178929,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178928,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178927,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178926,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178925,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178924,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178923,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178922,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178921,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178920,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178919,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178918,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178917,Crosbie Rd - Village Mall,,1,28497,14131,0,0
1,1,178916,Crosbie Rd- Village Mall,,1,28497,14135,0,0
2,1,179049,Pleasantville - Avalon Mall,,0,28509,14138,0,0
2,1,179048,Pleasantville - Avalon Mall,,0,28510,14136,0,0
2,1,179047,Pleasantville - Avalon Mall,,0,28511,14136,0,0
2,1,179046,Pleasantville - Avalon Mall,,0,28509,14136,0,0
2,1,179045,Pleasantville - Avalon Mall,,0,28512,14136,0,0
2,1,179044,Pleasantville - Avalon Mall,,0,28510,14136,0,0
2,1,179043,Pleasantville - Avalon Mall,,0,28511,14136,0,0
2,1,179042,Pleasantville - Avalon Mall,,0,28509,14136,0,0
2,1,179041,Pleasantville - Avalon Mall,,0,28512,14136,0,0
2,1,179040,Pleasantville - Avalon Mall,,0,28510,14136,0,0
2,1,179039,Pleasantville - Avalon Mall,,0,28511,14136,0,0
2,1,179038,Pleasantville - Avalon Mall,,0,28509,14136,0,0
2,1,179037,Pleasantville - Avalon Mall,,0,28512,14136,0,0
2,1,179036,Pleasantville - Avalon Mall,,0,28510,14136,0,0
2,1,179035,Pleasantville - Avalon Mall,,0,28511,14136,0,0
2,1,179034,Pleasantville - Avalon Mall,,0,28509,14136,0,0
2,1,179033,Pleasantville - Avalon Mall,,0,28512,14136,0,0
2,1,179032,Pleasantville - Avalon Mall,,0,28510,14136,0,0
2,1,179031,Pleasantville - Avalon Mall,,0,28511,14136,0,0
2,1,179030,Pleasantville - Avalon Mall,,0,28509,14136,0,0
2,1,179029,Pleasantville - Avalon Mall,,0,28510,14137,0,0
2,1,179028,Pleasantville - Avalon Mall,,0,28509,14137,0,0
2,1,179027,Pleasantville - Avalon Mall,,0,28510,14137,0,0
2,1,179026,Pleasantville - Avalon Mall,,0,28509,14137,0,0
2,1,179025,Pleasantville - Avalon Mall,,0,28510,14137,0,0
2,1,179024,Pleasantville - Avalon Mall,,0,28509,14138,0,0
2,1,179075,Pleasantville - Village Mall,,1,28510,14142,0,0
2,1,179074,Pleasantville - Village Mall,,1,28509,14140,0,0
2,1,179073,Pleasantville - Village Mall,,1,28512,14140,0,0
2,1,179072,Pleasantville - Village Mall,,1,28510,14140,0,0
2,1,179071,Pleasantville - Village Mall,,1,28511,14140,0,0
2,1,179070,Pleasantville - Village Mall,,1,28509,14140,0,0
2,1,179069,Pleasantville - Village Mall,,1,28512,14140,0,0
2,1,179068,Pleasantville - Village Mall,,1,28510,14140,0,0
2,1,179067,Pleasantville - Village Mall,,1,28511,14140,0,0
2,1,179066,Pleasantville - Village Mall,,1,28509,14140,0,0
2,1,179065,Pleasantville - Village Mall,,1,28512,14140,0,0
2,1,179064,Pleasantville - Village Mall,,1,28510,14140,0,0
2,1,179063,Pleasantville - Village Mall,,1,28511,14140,0,0
2,1,179062,Pleasantville - Village Mall,,1,28509,14140,0,0
2,1,179061,Pleasantville - Village Mall,,1,28512,14140,0,0
2,1,179060,Pleasantville - Village Mall,,1,28510,14140,0,0
2,1,179059,Pleasantville - Village Mall,,1,28511,14140,0,0
2,1,179058,Pleasantville - Village Mall,,1,28509,14140,0,0
